key,en,es,nb,sv,nl,nn
abort_button,Abort,Cancelar,Avbryt,Avbryt,Afbreken,Avbryt
about,About,Acerca de,Om,Om,Over,Om
add_pictures_hint,More pictures give a more accurate result,Agrega más fotos de la especie para obtener un resultado más preciso,Flere bilder gir et mer nøyaktig resultat,Lägg till fler bilder av arten för ett mer noggrant resultat,Meer foto's geven een nauwkeuriger resultaat,Legg til fleire bilete av arten for eit meir nøyaktig resultat
advanced,Advanced,Avanzado,Avansert,Avancerat,Geavanceerd,Avansert
appearance,Appearance,Apariencia,Utseende,Utseende,Uiterlijk,Utsjånad
avatar_description,Illustration of a man taking a picture,Ilustración de un hombre tomando una foto,Illustrasjon av en mann som tar et bilde,Illustration av en man som tar en bild,Illustratie van een man die een foto neemt,Illustrasjon av ein mann som tek eit bilete
back,Back,Atrás,Tilbake,Tillbaka,Terug,Tilbake
cancel,Cancel,Cancelar,Avbryt,Avbryt,Annuleren,Avbryt
carousel_image,Carousel image,Imagen del carrusel,Karusellbilde,Karusellbild,Carrouselfoto,Karusellbilete
certainty_percentage,%1$d%%,%1$d%%,%1$d%%,%1$d%%,%1$d%%,%1$d%%
